Day,Date,UTC,PST,Lat,Long,geopoint_test:Accuracy,select_country,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,,select_previous,select_photo,select_whaleinfo,ecotype,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials
Wed,1-Jul,19:18:22,12:18:22,48.4435067,-123.01866,0.9,USA,Luna,Erin,PM,T,,100_yards_under_power no_go_zone,100 yards under power,contact_no,photo_n,whaleinfo_y,SRKW,K,,,,,,,AKB
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
Wed,1-Jul,19:11:58,12:11:58,48.4378467,-123.00888,0.9,USA,Luna,Erin,PM,T,0,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,Kpod,behavior_unk,,wwf_n,3,kayakwwf_n,No kayaks,AKB
Wed,1-Jul,18:12:19,11:12:19,48.455255,-123.04538,1,USA,Luna,Erin,PM,T,,high_speed_within_1km no_go_zone,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,Kpod,behavior_unk,,wwf_n,2,,,AKB
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
Thu,2-Jul,21:51:30,14:51:30,48.45271,-123.0326133,0.7,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,whaleinfo_y,SRKW,K,,,wwf_n,4,,,CL
Thu,2-Jul,22:21:36,15:21:36,48.45444167,-123.0403333,0.9,USA,Luna,Erin,PM,F,,high_speed_within_1km,high speed within 1km,contact_yes,photo_n,whaleinfo_y,SRKW,K pod,,,wwf_n,2,,,CL
Thu,2-Jul,22:35:26,15:35:26,48.46914167,-123.08146,0.8,USA,Luna,Erin,PM,T,,high_speed_within_1km,high speed within 1km,contact_yes,photo_y,whaleinfo_y,SRKW,K pod,behavior_n,,wwf_n,2,,"Male going offshore, private followed offshore, going >10jnots, Vessel name: Feet First, Port: Edmonds,WA",CL
Thu,2-Jul,21:05:21,14:05:21,48.47663333,-123.103285,0.9,USA,Luna,Erin,PM,T,,inshore_of_whales high_speed_within_1km no_go_zone,inshore of whales,contact_no,photo_n,whaleinfo_y,SRKW,K pod,behavior_n,,wwf_n,1,kayakwwf_n,,CL
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
Thu,2-Jul,22:50:12,15:50:12,48.485045,-123.12075,0.8,USA,Luna,Erin,PS,WO,,200_yards_under_power,200 yards under power,contact_no,photo_y,whaleinfo_y,SRKW,K pod,,,wwf_n,1,,Vessel name: Coomil,CL
Sat,4-Jul,23:00:05,16:00:05,48.482405,-123.1107133,0.8,USA,Luna,Erin,PK,WO,1,paddle_whale 400yd_inthepath,paddle whale,contact_no,photo_n,whaleinfo_n,SRKW,J pod,behavior_unk,,wwf_n,,kayakwwf_n,,Emv
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sat,4-Jul,23:06:48,16:06:48,48.481715,-123.107775,0.8,USA,Luna,Erin,PM,WO,,high_speed_within_1km 300_yards_under_power 400yd_inthepath,high speed within 1km,contact_no,photo_n,whaleinfo_n,SRKW,J pod,behavior_y,"Diverted and changed path, picked up speed",wwf_n,,,"Started motor up when whale was ~4 yards from port and followed whale, oblivious to regulations",Emv
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,400yd inthepath,,,,,,,,,,,,
Sat,4-Jul,22:56:49,15:56:49,48.48204667,-123.1087233,0.8,USA,Luna,Erin,PM,T,,high_speed_within_1km incorrectfast_approach fast_departurewithin400yds,high speed within 1km,contact_no,photo_n,whaleinfo_n,SRKW,J pod,behavior_unk,,wwf_n,,kayakwwf_n,,Emv
,,,,,,,,,,,,,,incorrectfast approach,,,,,,,,,,,,
,,,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
